ID,Trial,Fam,Temp,lnTMG,pop
OL2D4,3,1OL,31,0.211665089,OL
OL2D4,1,1OL,21,0.141566312,OL
OL2D4,4,1OL,33,-0.002493766,OL
OL2D5,1,1OL,21,0.034031633,OL
OL2D5,1,1OL,18,0.046939739,OL
OL2D6,3,1OL,27,0.089339471,OL
OL2D6,2,1OL,21,0.072868915,OL
OL2D6,1,1OL,25,0.119446897,OL
OL2D7,2,1OL,25,0.169128843,OL
OL2D7,3,1OL,31,0.185438894,OL
OL2D7,1,1OL,21,0.036265537,OL
OL2D8,2,1OL,25,0.171712664,OL
OL2D8,3,1OL,31,-0.004659834,OL
OL2D8,1,1OL,21,0.211026241,OL
OL2D9,3,1OL,16,0.00210305,OL
OL2D9,2,1OL,25,0.153168344,OL
OL2D9,1,1OL,21,0.21123117,OL
OL3D1,4,2OL,26,0.127540826,OL
OL3D1,3,2OL,16,0,OL
OL3D1,2,2OL,25,0.158557823,OL
OL3D1,1,2OL,21,0.025397167,OL
OL3D2,2,2OL,18,0.120243186,OL
OL3D2,1,2OL,27,0.19042639,OL
OL3D3,2,2OL,18,0,OL
OL3D3,1,2OL,24,0.164781217,OL
OL3D4,3,2OL,27,0.193823655,OL
OL3D4,2,2OL,21,0.15674083,OL
OL3D4,1,2OL,25,0.160899395,OL
OL3D5,1,2OL,25,0.226815435,OL
OL3D6,2,2OL,21,0.13934982,OL
OL3D6,1,2OL,25,0.220196792,OL
OL3D7,3,2OL,27,0.227027433,OL
OL3D7,2,2OL,21,0.23275457,OL
OL3D7,1,2OL,25,0.217551981,OL
OL3F1,2,2OL,18,0.128758025,OL
OL3F1,3,2OL,26,0.205959858,OL
OL3F1,1,2OL,27,0.134172778,OL
OL3F10,2,2OL,18,0.086991479,OL
OL3F10,1,2OL,26,0.180003065,OL
OL3F11,1,2OL,26,0.251697793,OL
OL3F12,2,2OL,24,0.204685212,OL
OL3F12,1,2OL,29,0.268945691,OL
OL3F13,2,2OL,24,0.13785077,OL
OL3F13,1,2OL,29,0.231121823,OL
OL3F14,2,2OL,18,0.112033182,OL
OL3F14,1,2OL,26,0.291170634,OL
OL3F15,2,2OL,18,0.067353304,OL
OL3F15,1,2OL,26,0.229615457,OL
OL3F2,2,2OL,25,0.320371402,OL
OL3F2,1,2OL,21,0.259472643,OL
OL3F3,3,2OL,31,0.171118024,OL
OL3F3,2,2OL,18,0.205521882,OL
OL3F3,1,2OL,24,0.131849362,OL
OL3F4,1,2OL,24,0.128549167,OL
OL3F5,2,2OL,29,0.17724468,OL
OL3F5,1,2OL,27,0.067061676,OL
OL3F5,3,2OL,26,0.079691301,OL
OL3F6,2,2OL,29,0.215072694,OL
OL3F6,1,2OL,27,0.304843222,OL
OL3F6,3,2OL,26,0.151578716,OL
OL3F7,3,2OL,21,0.1835251,OL
OL3F7,2,2OL,27,0.284127585,OL
OL3F7,1,2OL,18,0.126349724,OL
OL3F8,2,2OL,18,0.099715463,OL
OL3F8,1,2OL,26,0.307295779,OL
OL3F9,2,2OL,24,0,OL
OL3F9,1,2OL,29,0.104059605,OL
OL4B1,2,3OL,27,0.131943839,OL
OL4B1,1,3OL,18,0.080584351,OL
OL4B2,2,3OL,27,0.114665545,OL
OL4B2,1,3OL,18,0.084979728,OL
OL4B3,3,3OL,21,-0.032104766,OL
OL4B3,2,3OL,27,0.087450875,OL
OL4B3,1,3OL,18,0.095030761,OL
OL4B4,2,3OL,21,0.009585366,OL
OL4B4,1,3OL,25,0.117632146,OL
OL4B5,2,3OL,21,0.160136065,OL
OL4B5,1,3OL,25,0.156892331,OL
OL4B6,2,3OL,21,0.168279103,OL
OL4B6,1,3OL,25,0.1692212,OL
OL4B7,1,3OL,29,0.207366706,OL
OL4D1,2,3OL,18,0.13346002,OL
OL4D1,1,3OL,27,0.079864573,OL
OL4D2,2,3OL,18,0.154939375,OL
OL4D2,1,3OL,27,0.157704928,OL
OL4D3,1,3OL,27,0.116828458,OL
OL4D4,2,3OL,21,0.032481952,OL
OL4D4,1,3OL,25,0.141414798,OL
OL4D5,1,3OL,25,0.085253546,OL
OL6C1,2,4OL,29,0.241721981,OL
OL6C1,1,4OL,24,0.131445661,OL
OL6C10,1,4OL,21,0.150127292,OL
OL6C11,2,4OL,29,0.232144343,OL
OL6C11,3,4OL,16,-0.000890769,OL
OL6C11,1,4OL,24,0.111482473,OL
OL6C12,2,4OL,25,0.065795407,OL
OL6C12,1,4OL,21,0.168195113,OL
OL6C13,3,4OL,16,-0.002547771,OL
OL6C13,2,4OL,25,0.08939419,OL
OL6C13,1,4OL,21,0.233771837,OL
OL6C14,2,4OL,18,0.022642162,OL
OL6C14,1,4OL,27,0.182167396,OL
OL6C15,2,4OL,18,0.052918684,OL
OL6C15,3,4OL,26,0.220203073,OL
OL6C15,1,4OL,27,0.118121461,OL
OL6C15,4,4OL,33,0.110668648,OL
OL6C16,3,4OL,16,-0.020353363,OL
OL6C16,2,4OL,25,0.179653917,OL
OL6C16,1,4OL,21,0.248195793,OL
OL6C17,3,4OL,16,0.020954148,OL
OL6C17,2,4OL,25,0.170517418,OL
OL6C17,1,4OL,21,0.08639841,OL
OL6C18,3,4OL,16,-0.025507592,OL
OL6C18,2,4OL,25,0.163287978,OL
OL6C18,1,4OL,21,0.311525767,OL
OL6C19,2,4OL,18,0.107521606,OL
OL6C19,3,4OL,26,0.202323344,OL
OL6C19,1,4OL,27,0.20541184,OL
OL6C2,2,4OL,29,0.30132055,OL
OL6C2,3,4OL,16,-0.012585269,OL
OL6C2,1,4OL,24,0.124983358,OL
OL6C2,4,4OL,33,0.054469095,OL
OL6C20,3,4OL,16,0.053245852,OL
OL6C20,2,4OL,25,0.134446173,OL
OL6C20,1,4OL,21,0.013598887,OL
OL6C21,2,4OL,18,0.047547259,OL
